AD_rej,FN,J,JJS,KS_rej,MR_emp,S,a2,b_delta,burn,d_true,degen,ident_resid,key,kurt,mode,mrrat,mu,part,ratio,ratioCRN,ratioIND,ratio_hi,ratio_lo,rho_CRN,rho_IND,s,sigma,sigrat,skew
1,0.0020872622142917054,0.001591740361975646,0.871936232691508,1,0.0013556556531538761,0.0002337834576530372,0.71,-0.0002337834576530372,,-0.00026173839466302206,0,0.0,SLA20,9.230698225040417,IND,,-0.0004955218523160593,2,0.6494898647000642,,,0.6774752292204342,0.6400317093537812,,,-0.1929345793193095,0.0025683413210027192,,-0.7438007060280323
0,0.12697221903617992,0.0658615044677643,0.8508091205917475,0,0.12476776562288001,0.011548930932783433,0.71,-0.011548930932783433,,-0.049561783635632184,0,0.0,over5,2.9947193777637517,IND,,-0.06111071456841562,2,0.9826383012754014,,,0.9967231959620063,0.9733389927088051,,,-0.41691468936316406,0.14657846347837264,,-0.28815486788875583
1,0.23491948524385925,1.0225711111200297e-09,3.2199308335797836e-07,0,0.23491948422128814,-0.003175753873949999,0.72,0.003175753873949999,,-0.23809523809523814,0,0.0,EN,7.217473178665831,CRN,,-0.23491948422128814,2,0.9999999956471423,,,0.999999999610421,0.9999999839184421,,,-5.2798506822174005,0.04449358483043843,,-1.1696445477249793
1,0.00890593681271619,5.598456268803009e-06,0.018862874150996238,0,0.008900338356447386,-0.00029119916979749444,0.72,0.00029119916979749444,,-0.00919153752624488,0,0.0,SLA10,5.989127741430716,CRN,,-0.008900338356447386,2,0.9993713792960209,,,0.9996626879906374,0.9990910294304159,,,-2.7605697171448678,0.0032240947588357246,,-1.0872617893736236
1,0.0008361634860468073,0.00034646355532835175,0.752324062928657,1,0.0004896999307184556,-0.00011406080166168509,0.72,0.00011406080166168509,,-0.0006037607323801406,0,0.0,SLA20,20.95319240811743,CRN,,-0.0004896999307184556,2,0.5856509389493274,,,0.6231858132581218,0.5660520276574001,,,-0.5318574447252459,0.0009207353127705702,,-3.7519653770603134
1,0.10266967313308227,1.452675177542051e-05,0.005289581188453346,0,0.10265514638130685,-0.002731768513931254,0.72,0.002731768513931254,,-0.1053869148952381,0,0.0,over5,8.421959067582076,CRN,,-0.10265514638130685,2,0.9998585098078905,,,0.9999404191485226,0.9997047254828014,,,-3.1498535371711167,0.032590450689177576,,-1.50446584397463
0,0.3160949004199437,0.058055170148177626,0.7443002753845163,0,0.31960560808037297,0.01994449217652794,0.72,-0.01994449217652794,,-0.23809523809523814,0,0.0,EN,2.7875796316088786,IND,,-0.2580397302717661,2,1.0111064988893057,,,1.0201220667918074,1.0009189959277165,,,-0.8972642538016595,0.287584988679161,,-0.0552624075920137
0,0.01543566234843525,0.005164604378816617,0.8271142115004887,0,0.015663001099376028,0.0010795204433737531,0.72,-0.0010795204433737531,,-0.00919153752624488,0,0.0,SLA10,2.5844787026962535,IND,,-0.010271057969618634,2,1.014728150033926,,,1.0264619280158185,1.0029783214756347,,,-0.634276126634256,0.01619335418490574,,0.046323141240993945
1,0.0025452172347846373,0.0016742540503149187,0.8623701062791531,1,0.0016661135322656962,0.0002672024520895779,0.72,-0.0002672024520895779,,-0.0006037607323801406,0,0.0,SLA20,18.146306358577593,IND,,-0.0008709631844697186,2,0.6546056303153526,,,0.7048340548868465,0.6318700963180169,,,-0.2839679153685116,0.0030671182810897836,,-2.0563241775236523
0,0.16621083643405052,0.04942593370862476,0.8126068240615747,0,0.16896501405985817,0.011397987830187653,0.72,-0.011397987830187653,,-0.1053869148952381,0,-2.7755575615628914e-17,over5,3.044484484914807,IND,,-0.11678490272542576,2,1.0165703854507733,,,1.0304691552135343,1.0076904495590628,,,-0.6884748618325114,0.16962841956869673,,-0.06714500868103875
