block,config_id,payoff,n_seeds,lil_p,lil_rej,ks_std_p,skew,kurt
Exp05_axis,Exp05ax-kappa3,OTM_K125,50,0.24902392851589694,0,0.6752083415295664,-0.058966232779079274,3.3767739235073293
Exp05_axis,Exp05ax-kappa4,ATM,50,0.5901573743426722,0,0.8852088067829662,0.10298620832965177,2.2092822559905705
Exp05_axis,Exp05ax-kappa4,OTM_K110,50,0.6096985392568127,0,0.8934866555247183,0.08976818108787149,2.23168732194021
Exp05_axis,Exp05ax-kappa4,OTM_K125,50,0.8190311044343737,0,0.9655293687516124,0.04966642883382372,2.2399456661190515
Exp05_axis,Exp05ax-kappa5,ATM,50,0.3730990008207866,0,0.7622966051973148,-0.15558799515769364,2.8070406198202487
Exp05_axis,Exp05ax-kappa5,OTM_K110,50,0.6834007104389784,0,0.9219287534558905,-0.10506802534383904,2.761400461655047
Exp05_axis,Exp05ax-kappa5,OTM_K125,50,0.7920406830296062,0,0.9577377399683901,-0.07553979801515098,2.678796380498007
Exp05_axis,Exp05ax-omega1,ATM,50,0.727879969690346,0,0.9368389998987939,-0.10358215503670297,2.4091730535248455
Exp05_axis,Exp05ax-omega1,OTM_K110,50,0.8782884987339877,0,0.9792255195587849,-0.16678814280723436,2.5315290504305072
Exp05_axis,Exp05ax-omega1,OTM_K125,50,0.8518940388734836,0,0.9736882458802814,-0.21748313392654056,2.60262253811282
Exp05_axis,Exp05ax-omega2,ATM,50,0.5909945398954389,0,0.8855694544025996,-0.14592284642938072,2.4008676985086606
Exp05_axis,Exp05ax-omega2,OTM_K110,50,0.5153582807404187,0,0.8509523879569217,-0.17408377494623875,2.4999149736417103
Exp05_axis,Exp05ax-omega2,OTM_K125,50,0.2636000752450459,0,0.6860651829436712,-0.18301467150394932,2.547800200453751
Exp05_axis,Exp05ax-omega3,ATM,50,0.1642219063772528,0,0.5709099604464402,-0.2910131124283982,2.4745294345476436
Exp05_axis,Exp05ax-omega3,OTM_K110,50,0.06674012433809778,0,0.4280233185588842,-0.307308333961939,2.553738033583125
