model,pair,payoff,N,B,ratio_med,ratio_q25,ratio_q75,KS_rejrate,AD_rejrate,skew_med,kurt_med
kou,C,digital_OTM110,100,100,0.9948656846587468,0.9840080540338044,1.0031656376328675,0.0,0.0,0.007058387795300835,3.0127103439516563
kou,C,digital_OTM110,200,1,0.9956080689758916,0.9956080689758916,0.9956080689758916,0.0,0.0,0.005805798856885364,3.0550598546619043
kou,D,price_ATMcall,5,100,0.999999999989786,0.9999999951511777,1.0,0.0,0.0,-0.12391714007738008,1.7962499984687688
kou,D,price_ATMcall,10,100,0.9999999999984304,0.9999999997606512,1.0,0.0,0.06,-0.03132090740569449,2.2247340131757847
kou,D,price_ATMcall,20,100,0.9999999999856806,0.999999999708346,0.9999999999997686,0.0,0.06,-0.22840454147135836,2.425843185447083
kou,D,price_ATMcall,50,100,0.9999999999743332,0.9999999998423363,0.999999999998827,0.0,0.07,-0.28866300101606623,2.672589866751417
kou,D,price_ATMcall,100,100,0.9999999999762155,0.9999999999174811,0.9999999999930104,0.0,0.05,-0.3094228893066079,2.720311728002722
kou,D,price_ATMcall,200,1,0.9999999999738294,0.9999999999738294,0.9999999999738294,0.0,0.0,-0.29075284168498033,2.731344121058162
kou,D,delta_ATM,5,100,0.9995300703278078,0.9962627530411031,0.9999798958473356,0.0,0.0,-0.052305327475793355,1.862152905010038
kou,D,delta_ATM,10,100,0.9992431818515035,0.9973513014964898,0.999838258717366,0.0,0.05,0.008550622256794174,2.1831430731766757
kou,D,delta_ATM,20,100,0.9989933816587663,0.9972634283677972,0.9996802693841675,0.0,0.04,-0.23161116663610648,2.2996591794827133
kou,D,delta_ATM,50,100,0.9989452988064013,0.9983710059871584,0.9993435693035253,0.0,0.03,-0.18186869033253142,2.5161006069242093
kou,D,delta_ATM,100,100,0.9988908786307473,0.9985206934047829,0.9991801522765441,0.0,0.0,-0.1983082165693989,2.4866856223041687
kou,D,delta_ATM,200,1,0.9988509295045388,0.9988509295045388,0.9988509295045388,0.0,0.0,-0.20473884758019317,2.545332449266592
kou,D,digital_OTM110,5,100,0.9703503543462422,0.9087028429934672,1.0086120096727678,0.0,0.0,0.04447952348070779,2.1318514245817926
kou,D,digital_OTM110,10,100,0.9919945711619698,0.9550265830619014,1.0250620896811098,0.0,0.06,0.057518699794741425,2.23968716313166
kou,D,digital_OTM110,20,100,0.9956680779549274,0.9620648230507829,1.0267080749059205,0.0,0.04,-0.07693868105287974,2.535464625214438
kou,D,digital_OTM110,50,100,1.0066889630430627,0.9872978286747415,1.026022898560776,0.0,0.02,-0.024951945187142548,2.614234340362584
kou,D,digital_OTM110,100,100,1.0095924794760696,0.9993179415360796,1.0200720577667197,0.0,0.0,-0.029460617074541853,2.674482106946878
kou,D,digital_OTM110,200,1,1.0106166332922804,1.0106166332922804,1.0106166332922804,0.0,0.0,-0.01742891022388973,2.6890884791592984
