model,block,exp,config_id,payoff,sigma_delta,mu_delta,Delta,b_Delta,J_hat,S_hat,empirical_mr,theory_mr,corrected,ratio_corrected,ratio_b5_raw
heston,Exp03,exp03,Exp03-AB2-A,OTM_K110,0.003937,-0.01270081,-0.00033689947793862687,-0.012363910522061374,1.3240717541701803e-06,0.012363910522061374,0.01208196,0.01270214,-0.00028327459381554537,-0.840828236211009,0.9512
heston,Exp03,exp03,Exp03-AB2-A,OTM_K125,0.003838,-0.01227982,-0.00030486422910236546,-0.011974955770897635,1.424402618008672e-06,0.011974955770897635,0.01140109,0.01228125,-0.0005752901735156437,-1.8870373057853116,0.9283
heston,Exp03,exp03,Exp03-AB2-B,ATM,0.004102,-0.01502957,-0.0016421740919256723,-0.013387395908074329,2.468968734363069e-07,0.013387395908074329,0.01468701,0.01502982,0.0012993671950522357,0.7912481395492916,0.9772
heston,Exp03,exp03,Exp03-AB2-B,OTM_K110,0.004141,-0.01472225,-0.0016773908245093204,-0.013044859175490678,3.8825845118335315e-07,0.013044859175490678,0.014172,0.01472264,0.0011267525660581396,0.6717293010039824,0.9626
heston,Exp03,exp03,Exp03-AB2-B,OTM_K125,0.004031,-0.01417384,-0.0015206192801209475,-0.012653220719879052,4.4198021921039445e-07,0.012653220719879052,0.01334824,0.01417428,0.0006945772999017389,0.45677265110468246,0.9417
heston,Exp03,exp03,Exp03-AB2-C,ATM,0.004327,-0.01757561,-0.003265751445223251,-0.014309858554776747,4.692647343780682e-08,0.014309858554776747,0.01722876,0.01757565,0.002918854518749816,0.893777302929519,0.9803
heston,Exp03,exp03,Exp03-AB2-C,OTM_K110,0.004358,-0.01730071,-0.0033373114491413924,-0.013963398550858607,7.114551749790886e-08,0.013963398550858607,0.01674932,0.01730078,0.0027858503036238963,0.8347588608610762,0.9681
heston,Exp03,exp03,Exp03-AB2-C,OTM_K125,0.004242,-0.01659667,-0.003031986083021648,-0.013564683916978352,8.904352515666292e-08,0.013564683916978352,0.01576711,0.01659676,0.0022023370394964915,0.7263677929885692,0.95
heston,Exp03,exp03,Exp03-AB2-D,ATM,0.005013,-0.02830115,-0.00958505996244208,-0.01871609003755792,1.3820908656481238e-11,0.01871609003755792,0.02734662,0.02830115,0.008630529948621169,0.9004148103860462,0.9663
heston,Exp03,exp03,Exp03-AB2-D,OTM_K110,0.005073,-0.02815151,-0.00981131944748165,-0.01834019055251835,2.4744675341434127e-11,0.01834019055251835,0.02703215,0.02815151,0.008691959422736976,0.8859113668924532,0.9602
heston,Exp03,exp03,Exp03-AB2-D,OTM_K125,0.005014,-0.02688252,-0.008985120435511028,-0.01789739956448897,7.256890931294186e-11,0.01789739956448897,0.02554479,0.02688252,0.007647390362942121,0.8511171795447589,0.9502
heston,Exp03,exp03,Exp03-AB2-E,ATM,0.010243,-0.07306097,-0.029848411618922033,-0.04321255838107797,1.3618713074777077e-15,0.04321255838107797,0.07006019,0.07306097,0.02684763161892066,0.8994660071593537,0.9589
heston,Exp03,exp03,Exp03-AB2-E,OTM_K110,0.010323,-0.07354712,-0.03068259971867562,-0.04286452028132437,1.4581208579828148e-15,0.04286452028132437,0.07040089,0.07354712,0.027536369718674167,0.8974588193683459,0.9572
heston,Exp03,exp03,Exp03-AB2-E,OTM_K125,0.01032,-0.07119246,-0.02870225461788489,-0.04249020538211511,7.562129391058372e-15,0.04249020538211511,0.06786711,0.07119246,0.025376904617877324,0.8841432478291974,0.9533
heston,Exp03,exp03,Exp03-AB3-A,ATM,0.001921,-0.00105621,-0.00032995158206299615,-0.0007262584179370038,0.0007025387660570332,0.0007262584179370038,0.00187267,0.00175848,0.0004438728160059632,1.3452665182893913,1.0649
heston,Exp03,exp03,Exp03-AB3-A,OTM_K110,0.001878,-0.00121611,-0.00033689947793862687,-0.0008792105220613731,0.0005859493404297171,0.0008792105220613731,0.0017534,0.00180236,0.0002882401375089098,0.8555671836375438,0.9728
heston,Exp03,exp03,Exp03-AB3-A,OTM_K125,0.001582,-0.00125865,-0.00030486422910236546,-0.0009537857708976345,0.0003832893334631598,0.0009537857708976345,0.00146544,0.00164184,0.00012836489563920555,0.42105594354955944,0.8926
heston,Exp03,exp03,Exp03-AB3-B,ATM,0.001842,-0.00236384,-0.0016421740919256723,-0.0007216659080743276,0.00017376884319722597,0.0007216659080743276,0.00251829,0.00253774,0.0016228552487284463,0.9882358129432112,0.9923
heston,Exp03,exp03,Exp03-AB3-B,OTM_K110,0.001809,-0.00255386,-0.0016773908245093204,-0.0008764691754906794,0.00012926877255816833,0.0008764691754906794,0.00247739,0.00268327,0.0014716520519511523,0.8773459532793427,0.9233
