seed,coupling,pair,payoff,kurt,kurt_nonfisher,skew,lilliefors_rej,ad_rej,ratio,sigma_delta,mu_delta,abs_s,atom
3,independent,B,ATM_call,-0.3315,2.6685,-0.0224,False,False,1.1528,0.00434242,-0.00127377,0.2933,0.0
3,independent,B,OTM_call_1.10,-0.285,2.715,-0.0269,False,False,1.141,0.00437976,-0.00129673,0.2961,0.0
3,independent,B,OTM_call_1.25,-0.2296,2.7704,-0.034,False,False,1.1238,0.0040007,-0.00118094,0.2952,0.0
3,independent,B,OTM_put_0.90,-0.4183,2.5817,-0.0233,False,False,1.1368,0.00395914,-0.00102013,0.2577,0.0
3,coupled,C,ATM_call,-0.4148,2.5852,-0.8179,True,True,1.0343,0.00076016,-0.00374791,4.9304,0.0
3,coupled,C,OTM_call_1.10,-0.4233,2.5767,-0.7918,True,True,1.0312,0.000714,-0.00383394,5.3697,0.0
3,coupled,C,OTM_call_1.25,-0.3839,2.6161,-0.7975,True,True,1.0268,0.00060473,-0.0034916,5.7738,0.0
3,coupled,C,OTM_put_0.90,-0.085,2.915,0.2674,False,False,1.0075,0.00027966,-0.00338831,12.1157,0.0
3,independent,C,ATM_call,-0.3314,2.6686,-0.0481,False,False,1.2013,0.00429877,-0.00311537,0.7247,0.0
3,independent,C,OTM_call_1.10,-0.2969,2.7031,-0.052,False,False,1.1987,0.00434328,-0.00318526,0.7334,0.0
3,independent,C,OTM_call_1.25,-0.2527,2.7473,-0.0589,False,False,1.1844,0.0039796,-0.00290399,0.7297,0.0
3,independent,C,OTM_put_0.90,-0.4245,2.5755,-0.0155,False,False,1.1648,0.00397264,-0.00273145,0.6876,0.0
3,coupled,D,ATM_call,0.6306,3.6306,-0.6228,True,True,1.0213,0.00132558,-0.01039299,7.8403,0.0
3,coupled,D,OTM_call_1.10,0.4947,3.4947,-0.5601,True,True,1.0193,0.0012747,-0.01070744,8.4,0.0
3,coupled,D,OTM_call_1.25,0.3668,3.3668,-0.5327,True,True,1.0159,0.00109246,-0.00988207,9.0457,0.0
3,coupled,D,OTM_put_0.90,-0.1068,2.8932,0.1904,False,False,1.0067,0.00066723,-0.01002586,15.0261,0.0
3,independent,D,ATM_call,-0.3416,2.6584,-0.1493,False,False,1.1326,0.00434286,-0.00983814,2.2654,0.0
3,independent,D,OTM_call_1.10,-0.338,2.662,-0.1463,False,False,1.1267,0.00440218,-0.01013484,2.3022,0.0
3,independent,D,OTM_call_1.25,-0.328,2.672,-0.1466,False,False,1.1206,0.00407053,-0.00935018,2.297,0.0
3,independent,D,OTM_put_0.90,-0.4799,2.5201,0.0224,False,False,1.1069,0.00397082,-0.00941486,2.371,0.0
4,coupled,A,ATM_call,0.0301,3.0301,-0.0683,False,False,1.0115,4.961e-05,-0.00033744,6.8019,0.0
4,coupled,A,OTM_call_1.10,0.0219,3.0219,-0.1038,False,False,1.0111,4.703e-05,-0.00034005,7.2307,0.0
4,coupled,A,OTM_call_1.25,0.0522,3.0522,-0.081,False,False,1.0074,3.977e-05,-0.00030573,7.6877,0.0
4,coupled,A,OTM_put_0.90,0.2242,3.2242,0.1429,False,False,1.022,1.951e-05,-0.00027887,14.2966,0.0
4,independent,A,ATM_call,-0.151,2.849,0.0109,False,False,1.0875,0.00497145,7.367e-05,0.0148,0.0
4,independent,A,OTM_call_1.10,-0.1578,2.8422,-0.0597,False,False,1.0838,0.0050559,7.271e-05,0.0144,0.0
4,independent,A,OTM_call_1.25,-0.1229,2.8771,-0.1332,False,False,1.0732,0.00464275,7.174e-05,0.0155,0.0
4,independent,A,OTM_put_0.90,-0.0383,2.9617,-0.0614,False,False,1.0568,0.00475818,0.00010058,0.0211,0.0
4,coupled,B,ATM_call,0.0705,3.0705,-0.032,False,True,1.0129,0.00024848,-0.00170783,6.8731,0.0
4,coupled,B,OTM_call_1.10,0.0666,3.0666,-0.0617,False,True,1.0125,0.00023527,-0.0017215,7.3171,0.0
4,coupled,B,OTM_call_1.25,0.064,3.064,-0.0411,True,True,1.0087,0.00019911,-0.00155031,7.7862,0.0
4,coupled,B,OTM_put_0.90,0.4125,3.4125,0.08,False,False,1.0232,9.798e-05,-0.00140182,14.3077,0.0
4,independent,B,ATM_call,-0.1774,2.8226,0.0237,False,False,1.1254,0.00497679,-0.00130111,0.2614,0.0
4,independent,B,OTM_call_1.10,-0.1752,2.8248,-0.0472,False,False,1.1175,0.00506343,-0.00131242,0.2592,0.0
4,independent,B,OTM_call_1.25,-0.1318,2.8682,-0.1219,False,False,1.1019,0.00465647,-0.00117377,0.2521,0.0
4,independent,B,OTM_put_0.90,-0.0415,2.9585,-0.067,False,False,1.0904,0.00476344,-0.00103499,0.2173,0.0
4,coupled,C,ATM_call,0.1542,3.1542,0.1732,True,True,1.0128,0.00047693,-0.00346256,7.2601,0.0
4,coupled,C,OTM_call_1.10,0.196,3.196,0.1439,True,True,1.0122,0.00045208,-0.00349445,7.7297,0.0
4,coupled,C,OTM_call_1.25,0.1538,3.1538,0.1613,True,True,1.0088,0.00038601,-0.00315538,8.1744,0.0
4,coupled,C,OTM_put_0.90,0.4048,3.4048,0.0543,False,False,1.0209,0.00020353,-0.00284505,13.9783,0.0
4,independent,C,ATM_call,-0.1818,2.8182,0.039,False,False,1.1227,0.00495865,-0.00306948,0.619,0.0
4,independent,C,OTM_call_1.10,-0.172,2.828,-0.034,False,False,1.1159,0.00504721,-0.00309676,0.6136,0.0
4,independent,C,OTM_call_1.25,-0.1219,2.8781,-0.112,False,False,1.0962,0.00465005,-0.00278562,0.5991,0.0
4,independent,C,OTM_put_0.90,-0.053,2.947,-0.0708,False,False,1.1231,0.00475558,-0.00248692,0.5229,0.0
4,coupled,D,ATM_call,-0.3804,2.6196,0.0576,False,False,1.0118,0.00118486,-0.01016302,8.5774,0.0
4,coupled,D,OTM_call_1.10,-0.3268,2.6732,0.0558,False,False,1.0111,0.00112669,-0.01031402,9.1543,0.0
4,coupled,D,OTM_call_1.25,-0.2869,2.7131,0.0539,False,False,1.0082,0.00096638,-0.00940331,9.7304,0.0
4,coupled,D,OTM_put_0.90,0.7336,3.7336,0.1409,False,False,1.0161,0.00056101,-0.00883297,15.7448,0.0
4,independent,D,ATM_call,-0.0916,2.9084,0.0527,False,False,1.0959,0.0048231,-0.0098957,2.0517,0.0
4,independent,D,OTM_call_1.10,-0.0769,2.9231,-0.0212,False,False,1.0971,0.00490583,-0.01002453,2.0434,0.0
4,independent,D,OTM_call_1.25,-0.0128,2.9872,-0.1045,False,False,1.0965,0.00454996,-0.00911248,2.0028,0.0
4,independent,D,OTM_put_0.90,-0.0911,2.9089,-0.0941,False,False,1.1017,0.00470422,-0.00843511,1.7931,0.0
5,coupled,A,ATM_call,0.3104,3.3104,0.0538,False,False,0.9934,3.454e-05,-0.00039521,11.4422,0.0
5,coupled,A,OTM_call_1.10,0.2519,3.2519,0.0877,False,False,0.9938,3.286e-05,-0.00040143,12.2157,0.0
5,coupled,A,OTM_call_1.25,0.1994,3.1994,0.0113,False,False,0.9934,2.878e-05,-0.00036329,12.6236,0.0
5,coupled,A,OTM_put_0.90,-0.7872,2.2128,-0.1501,False,True,0.9901,3.647e-05,-0.00033956,9.3103,0.0
5,independent,A,ATM_call,-0.0626,2.9374,-0.1286,False,False,1.0237,0.00578446,-0.00026802,0.0463,0.0
5,independent,A,OTM_call_1.10,-0.0564,2.9436,-0.142,False,False,1.0161,0.0057084,-0.00020941,0.0367,0.0
5,independent,A,OTM_call_1.25,-0.0446,2.9554,-0.1426,False,False,1.0099,0.0050734,-0.00011635,0.0229,0.0
5,independent,A,OTM_put_0.90,-0.2133,2.7867,-0.0483,False,False,1.0141,0.00457282,1.917e-05,0.0042,0.0
5,coupled,B,ATM_call,0.3727,3.3727,0.1011,False,False,0.9965,0.00017128,-0.00199584,11.6524,0.0
5,coupled,B,OTM_call_1.10,0.3435,3.3435,0.1282,False,False,0.9965,0.00016401,-0.00202495,12.3462,0.0
5,coupled,B,OTM_call_1.25,0.3275,3.3275,0.0532,False,False,0.9958,0.0001442,-0.00183366,12.7163,0.0
5,coupled,B,OTM_put_0.90,-0.5337,2.4663,-0.3223,False,True,0.9875,0.00016523,-0.00168026,10.1693,0.0
5,independent,B,ATM_call,-0.1015,2.8985,-0.124,False,False,1.0217,0.00578584,-0.00188894,0.3265,0.0
5,independent,B,OTM_call_1.10,-0.0918,2.9082,-0.1359,False,False,1.0215,0.00571026,-0.00185327,0.3246,0.0
5,independent,B,OTM_call_1.25,-0.0742,2.9258,-0.1369,False,False,1.0164,0.00508343,-0.00160451,0.3156,0.0
5,independent,B,OTM_put_0.90,-0.2156,2.7844,-0.0485,False,False,1.007,0.00450915,-0.00132502,0.2939,0.0
5,coupled,C,ATM_call,0.2705,3.2705,0.0594,False,False,0.9975,0.00033499,-0.00395013,11.7918,0.0
5,coupled,C,OTM_call_1.10,0.2375,3.2375,0.0867,False,False,0.9975,0.00032014,-0.00400148,12.4992,0.0
5,coupled,C,OTM_call_1.25,0.2444,3.2444,0.0246,False,False,0.9969,0.00028079,-0.0036269,12.917,0.0
5,coupled,C,OTM_put_0.90,-0.2967,2.7033,-0.4815,True,True,0.9891,0.00030227,-0.00322088,10.6557,0.0
5,independent,C,ATM_call,-0.1149,2.8851,-0.1274,False,False,1.0083,0.00577003,-0.00386236,0.6694,0.0
5,independent,C,OTM_call_1.10,-0.1049,2.8951,-0.1377,False,False,1.0151,0.00569523,-0.00384966,0.6759,0.0
5,independent,C,OTM_call_1.25,-0.0846,2.9154,-0.1392,False,False,1.0206,0.00508127,-0.00341595,0.6723,0.0
5,independent,C,OTM_put_0.90,-0.2097,2.7903,-0.0545,False,False,0.9947,0.00444818,-0.00287301,0.6459,0.0
5,coupled,D,ATM_call,-0.4886,2.5114,-0.0909,False,False,1.006,0.0011012,-0.01166632,10.5942,0.0
5,coupled,D,OTM_call_1.10,-0.501,2.499,-0.065,False,False,1.0056,0.00104578,-0.01180694,11.2901,0.0
5,coupled,D,OTM_call_1.25,-0.4909,2.5091,-0.0807,False,False,1.0052,0.0009179,-0.01075989,11.7222,0.0
5,coupled,D,OTM_put_0.90,0.5405,3.5405,-0.5557,False,False,0.9886,0.0005788,-0.00920226,15.8989,0.0
5,independent,D,ATM_call,-0.1623,2.8377,-0.1262,False,False,1.0156,0.0056466,-0.01159713,2.0538,0.0
5,independent,D,OTM_call_1.10,-0.1552,2.8448,-0.1267,False,False,1.0202,0.00557438,-0.01167801,2.0949,0.0
5,independent,D,OTM_call_1.25,-0.1359,2.8641,-0.1217,False,False,1.0265,0.00499913,-0.01057479,2.1153,0.0
5,independent,D,OTM_put_0.90,-0.1607,2.8393,-0.051,False,False,0.9963,0.00432105,-0.00884723,2.0475,0.0
6,coupled,A,ATM_call,0.246,3.246,0.2919,True,True,1.0154,4.066e-05,-0.00033679,8.2837,0.0
6,coupled,A,OTM_call_1.10,0.2375,3.2375,0.2898,True,True,1.0158,3.873e-05,-0.00034224,8.8362,0.0
6,coupled,A,OTM_call_1.25,0.0819,3.0819,0.2744,False,True,1.0155,3.344e-05,-0.0003099,9.2685,0.0
6,coupled,A,OTM_put_0.90,2.8536,5.8536,-0.6712,False,False,1.0071,1.918e-05,-0.00028893,15.0632,0.0
6,independent,A,ATM_call,-0.2502,2.7498,0.0764,False,False,1.0569,0.0046655,0.00022416,0.048,0.0
6,independent,A,OTM_call_1.10,-0.2143,2.7857,0.1108,False,False,1.0665,0.00466889,0.00013545,0.029,0.0
6,independent,A,OTM_call_1.25,-0.1672,2.8328,0.1456,False,False,1.0673,0.0042525,4.302e-05,0.0101,0.0
6,independent,A,OTM_put_0.90,-0.4771,2.5229,0.2322,True,True,1.0635,0.00378995,-0.00021595,0.057,0.0
6,coupled,B,ATM_call,-0.1666,2.8334,0.3312,False,True,1.0077,0.00020669,-0.00169345,8.1931,0.0
6,coupled,B,OTM_call_1.10,-0.1574,2.8426,0.3381,False,False,1.0088,0.00019732,-0.00172115,8.7227,0.0
6,coupled,B,OTM_call_1.25,-0.1931,2.8069,0.305,False,False,1.0084,0.00016984,-0.00156106,9.1914,0.0
6,coupled,B,OTM_put_0.90,0.0514,3.0514,0.0107,False,False,1.0142,9.364e-05,-0.00145143,15.5001,0.0
6,independent,B,ATM_call,-0.2779,2.7221,0.0789,False,False,1.0917,0.0046406,-0.00114066,0.2458,0.0
6,independent,B,OTM_call_1.10,-0.2455,2.7545,0.1112,False,False,1.0911,0.00464928,-0.00125101,0.2691,0.0
6,independent,B,OTM_call_1.25,-0.203,2.797,0.1429,False,False,1.1013,0.00424305,-0.00121404,0.2861,0.0
6,independent,B,OTM_put_0.90,-0.4923,2.5077,0.2354,True,True,1.1072,0.00379153,-0.00139059,0.3668,0.0
6,coupled,C,ATM_call,-0.4177,2.5823,0.2502,False,False,1.006,0.00045452,-0.00346838,7.6308,0.0
6,coupled,C,OTM_call_1.10,-0.4079,2.5921,0.2605,False,False,1.0074,0.00043214,-0.00352719,8.1622,0.0
6,coupled,C,OTM_call_1.25,-0.4007,2.5993,0.2333,False,False,1.007,0.00036992,-0.0032054,8.665,0.0
6,coupled,C,OTM_put_0.90,-0.0758,2.9242,0.1723,False,False,1.0202,0.00019206,-0.00298114,15.5217,0.0
6,independent,C,ATM_call,-0.2922,2.7078,0.0679,False,False,1.1117,0.00459477,-0.00291683,0.6348,0.0
6,independent,C,OTM_call_1.10,-0.2667,2.7333,0.0983,False,False,1.1222,0.0046102,-0.00305889,0.6635,0.0
6,independent,C,OTM_call_1.25,-0.2312,2.7688,0.1268,False,False,1.1289,0.00421774,-0.00285962,0.678,0.0
