family,gamma1,gamma2,s,mu,sigma,E_true,m_folded,delta,delta_rel,ratio_true,W1,bound_ok,slack,C3,C4,E_edge,edge_valid,edge_capture,ratio_edge
Laplace,0.0,3.0,1.0,1.0,1.0,1.1719094915383619,1.1666309411753726,0.005278550362989298,0.004504230404397665,1.0045246102916414,0.1454120981667768,True,0.036300627179832005,-0.48394144903828695,2.4399969891786277e-16,1.1666309411753726,True,0.0,1.0
Laplace,0.0,3.0,1.5,1.5,1.0,1.5847631880312407,1.5586135875252092,0.026149600506031545,0.016500635996295022,1.0167774750042775,0.1454120981667768,True,0.17983098267408196,-0.38855278699767537,0.3237939891647291,1.5990878361708003,True,0.4522039395494579,1.0259681097159281
Laplace,0.0,3.0,2.0,2.0,1.0,2.0417940742010536,2.0169814052336594,0.024812668967394202,0.012152385630320388,1.0123018828547503,0.1454120981667768,True,0.17063689528044582,-0.2159638660527523,0.3239457990791286,2.0574746301185507,True,0.3680423521507281,1.0200761518077557
Laplace,0.0,3.0,3.0,3.0,1.0,3.010160838838461,3.000764308634096,0.009396530204365039,0.0031216040296341454,1.0031313789547978,0.1454120981667768,True,0.06462000289403652,-0.02659109047162794,0.07090957459100765,3.0096280054579716,True,0.9432946663395239,1.0029538130663485
Laplace,0.0,3.0,5.0,5.0,1.0,5.00060056396524,5.00000010692331,0.0006004570419300137,0.00012007698560388107,1.000120091405818,0.1454120981667768,True,0.004129347210445546,-1.4867195146263237e-05,7.136253670787438e-05,5.000009027240399,True,0.014855878881648854,1.0000017840633795
ZI0.5,0.0,3.0,0.0,0.0,1.0,0.5641895835477563,0.7978845608028654,-0.23369497725510913,-0.41421356237309515,0.7071067811865475,0.3272202945918067,True,0.7141824059129145,0.0,-0.7978845608028655,0.6981489907025072,True,0.42677669529663675,0.875
ZI0.5,0.0,3.0,0.05,0.05,1.0,0.5895421653109719,0.7988817087733653,-0.20933954346239336,-0.35508833087786157,0.7379592733649871,0.3272202945918067,True,0.6397511001679632,-0.03984439140947664,-0.7948956086190542,0.6995197576959835,True,0.4746449210405944,0.8756236999969044
ZI0.5,0.0,3.0,0.1,0.1,1.0,0.6155994701028604,0.8018706624094294,-0.18627119230656897,-0.30258504328381725,0.7677041934083626,0.3272202945918067,True,0.5692531770956759,-0.07939050949540263,-0.7859660440044833,0.7036249069088689,True,0.5274339756137147,0.8774792992109781
ZI0.5,0.0,3.0,0.15,0.15,1.0,0.6423601780804671,0.8068439695268507,-0.1644837914463836,-0.25606162564108864,0.796139281374514,0.3272202945918067,True,0.5026698959842025,-0.11834379927236649,-0.771207091924923,0.7104430830362353,True,0.5860813739938563,0.8805210299246001
ZI0.5,0.0,3.0,0.25,0.25,1.0,0.6979821603984979,0.8226893964471603,-0.1247072360486624,-0.1786682283934929,0.8484151654473499,0.3272202945918067,True,0.3811109460806193,-0.19333405840142454,-0.7250027190053427,0.7320640565714924,True,0.7267047426205862,0.8898425818212322
ZI0.5,0.0,3.0,0.4,0.4,1.0,0.7866079113945272,0.860877673894906,-0.07426976250037876,-0.09441776700250905,0.9137278561722284,0.3272202945918067,True,0.22697174878174078,-0.2946161122426585,-0.6186938357095833,0.783540944431208,True,0.9587050387658966,0.9101652513372777
ZI0.5,0.0,3.0,0.6,0.6,1.0,0.9142184826472197,0.9373454644835111,-0.02312698183629136,-0.025296996588085433,0.9753271523546181,0.3272202945918067,True,0.07067710107999653,-0.39986952347015975,-0.42652749170150395,0.8840295280208231,True,-0.3053564377788125,0.9431202918423831
ZI0.5,0.0,3.0,0.8,0.8,1.0,1.0521275914383212,1.0404144677895306,0.011713123648790624,0.011132797717792084,1.0112581322265504,0.3272202945918067,True,0.03579583492338776,-0.4635064844183726,-0.2085779179882679,1.014342228040997,True,-2.22589981377218,0.9749405255734989
ZI0.5,0.0,3.0,1.0,1.0,1.0,1.1996412283742457,1.1666309411753726,0.03301028719887311,0.02751679953814914,1.028295398342183,0.3272202945918067,True,0.10088092867238578,-0.48394144903828695,2.4399969891786277e-16,1.1666309411753726,True,0.0,1.0
ZI0.5,0.0,3.0,1.5,1.5,1.0,1.6048322598377398,1.5586135875252092,0.04621867231253063,0.02879969045313413,1.0296537080662291,0.3272202945918067,True,0.14124635016965084,-0.38855278699767537,0.3237939891647291,1.5990878361708003,True,0.8757120579298403,1.0259681097159281
ZI0.5,0.0,3.0,2.0,2.0,1.0,2.050254541660012,2.0169814052336594,0.03327313642635277,0.016228783182898252,1.0164965013261975,0.3272202945918067,True,0.10168420778380993,-0.2159638660527523,0.3239457990791286,2.0574746301185507,True,0.7830054742654169,1.0200761518077557
ZI0.5,0.0,3.0,3.0,3.0,1.0,3.0086228643247805,3.000764308634096,0.007858555690684721,0.002612010891716866,1.002618851359993,0.3272202945918067,True,0.02401610114216153,-0.02659109047162794,0.07090957459100765,3.0096280054579716,True,0.8720959457750591,1.0029538130663485
ZI0.5,0.0,3.0,5.0,5.0,1.0,5.000071762071563,5.00000010692331,7.165514825313579e-05,1.4330823968704117e-05,1.0000143310293441,0.3272202945918067,True,0.00021898136954653905,-1.4867195146263237e-05,7.136253670787438e-05,5.000009027240399,True,0.1244895489858272,1.0000017840633795
ZI0.2,0.0,12.0,0.0,0.0,1.0,0.35682482323055426,0.7978845608028654,-0.44105973757231115,-1.2360679774997896,0.4472135954999579,0.598415305689188,True,0.737046217533403,0.0,-0.7978845608028655,0.39894228040143265,True,0.9045084971874738,0.49999999999999994
ZI0.2,0.0,12.0,0.05,0.05,1.0,0.39691402571962253,0.7988817087733653,-0.40196768305374275,-1.0127323727725612,0.49683704278204105,0.598415305689188,True,0.6717202572063247,-0.03984439140947664,-0.7948956086190542,0.4014339044638382,True,0.9887556165961447,0.5024947999876174
ZI0.2,0.0,12.0,0.1,0.1,1.0,0.43718158859487305,0.8018706624094294,-0.36468907381455634,-0.8341821415368569,0.5452021243441517,0.598415305689188,True,0.609424709474214,-0.07939050949540263,-0.7859660440044833,0.4088876404071877,True,0.922416243810823,0.5099171968439128
ZI0.2,0.0,12.0,0.15,0.15,1.0,0.47762737814730594,0.8068439695268507,-0.32921659137954473,-0.6892749587692405,0.5919699423760906,0.598415305689188,True,0.5501473445776756,-0.11834379927236649,-0.771207091924923,0.4212404235643892,True,0.8287238369529506,0.5220841196984009
