block,config_id,payoff,n_cal,n_test,r_eff,sigma_delta,mu_delta,theory_mr,empirical_mr,ratio,in_range,exp,pair,proto_pair,axis,step,diag,scale,window,clipped,n_seeds,scenario
Exp03,Exp03-B1B1-A,OTM_K125,24,6,1.605,2.4e-05,-0.00030996,0.00030996,0.00028471,0.9185,True,exp03,A,B1B1,,,,,,,,
Exp03,Exp03-B1B1-B,ATM,24,6,1.647,0.000158,-0.00167227,0.00167227,0.0015061,0.9006,True,exp03,B,B1B1,,,,,,,,
Exp03,Exp03-B1B1-B,OTM_K110,24,6,1.647,0.000148,-0.00172218,0.00172218,0.00156457,0.9085,True,exp03,B,B1B1,,,,,,,,
Exp03,Exp03-B1B1-B,OTM_K125,24,6,1.647,0.000124,-0.00157253,0.00157253,0.00144635,0.9198,True,exp03,B,B1B1,,,,,,,,
Exp03,Exp03-B1B1-C,ATM,24,6,1.7,0.000327,-0.003366,0.003366,0.00307586,0.9138,True,exp03,C,B1B1,,,,,,,,
Exp03,Exp03-B1B1-C,OTM_K110,24,6,1.7,0.000306,-0.00346365,0.00346365,0.00319118,0.9213,True,exp03,C,B1B1,,,,,,,,
Exp03,Exp03-B1B1-C,OTM_K125,24,6,1.7,0.000257,-0.00316723,0.00316723,0.00295101,0.9317,True,exp03,C,B1B1,,,,,,,,
Exp03,Exp03-B1B1-D,ATM,24,6,1.962,0.001169,-0.01035456,0.01035456,0.00982919,0.9493,True,exp03,D,B1B1,,,,,,,,
Exp03,Exp03-B1B1-D,OTM_K110,24,6,1.962,0.001102,-0.01061818,0.01061818,0.01012363,0.9534,True,exp03,D,B1B1,,,,,,,,
Exp03,Exp03-B1B1-D,OTM_K125,24,6,1.962,0.000944,-0.00975409,0.00975409,0.00936196,0.9598,True,exp03,D,B1B1,,,,,,,,
Exp03,Exp03-B1B1-E,ATM,24,6,4.149,0.002109,-0.03190254,0.03190254,0.03273471,1.0261,True,exp03,E,B1B1,,,,,,,,
Exp03,Exp03-B1B1-E,OTM_K110,24,6,4.149,0.002042,-0.03277682,0.03277682,0.0335492,1.0236,True,exp03,E,B1B1,,,,,,,,
Exp03,Exp03-B1B1-E,OTM_K125,24,6,4.149,0.001812,-0.03074621,0.03074621,0.03146028,1.0232,True,exp03,E,B1B1,,,,,,,,
Exp03,Exp03-B2B2-A,ATM,24,6,1.924,5.8e-05,-0.00049171,0.00049171,0.00051401,1.0454,True,exp03,A,B2B2,,,,,,,,
Exp03,Exp03-B2B2-A,OTM_K110,24,6,1.924,5.5e-05,-0.0004986,0.0004986,0.00052021,1.0434,True,exp03,A,B2B2,,,,,,,,
Exp03,Exp03-B2B2-A,OTM_K125,24,6,1.924,5.1e-05,-0.00046659,0.00046659,0.00048331,1.0358,True,exp03,A,B2B2,,,,,,,,
Exp03,Exp03-B2B2-B,ATM,24,6,1.893,0.000327,-0.00248662,0.00248662,0.00257914,1.0372,True,exp03,B,B2B2,,,,,,,,
Exp03,Exp03-B2B2-B,OTM_K110,24,6,1.893,0.000315,-0.00252004,0.00252004,0.00261026,1.0358,True,exp03,B,B2B2,,,,,,,,
Exp03,Exp03-B2B2-B,OTM_K125,24,6,1.893,0.000289,-0.00236061,0.00236061,0.00243046,1.0296,True,exp03,B,B2B2,,,,,,,,
