protocol_pair,pair,payoff,rho,sigma_1,sigma_2,sigma_delta,mu,s
AB3,E,ATM,0.15175828522873275,0.001222169502260734,0.0022195155492048544,0.0023657178967568405,-0.03132674296696983,-13.241960510133358
B1B1,E,ATM,0.3531419213671307,0.001490340048524942,0.0015101968539437437,0.0017065081638199687,-0.032065929472446464,-18.790375664343625
B2B2,E,ATM,0.9058737874023478,0.0026024621510686574,0.007472546229261011,0.0052324628396302995,-0.05951230277617772,-11.37366945550684
AA,E,DIGITAL,0.6599671663379675,0.0016371061036264689,0.0012548709510185932,0.001242256536858936,-0.005620999137560534,-4.524829590974271
AB1,E,DIGITAL,-0.04126118956313054,0.0016371061036264689,0.0015748438217793178,0.0023179748781643286,-0.004963179429372133,-2.141170500218112
AB2,E,DIGITAL,0.35309460716132846,0.0016371061036264689,0.0011206916548641868,0.0016249391001377782,-0.00874697069327035,-5.382952931915231
AB3,E,DIGITAL,0.31455563709346995,0.0016371061036264689,0.0018688023892105884,0.002061023591389216,-0.004932239651679993,-2.393101986938178
B1B1,E,DIGITAL,0.6311202125982294,0.0017379784245336977,0.0015748438217793178,0.0014303474218943365,-0.005552619695663452,-3.882007693144665
B2B2,E,DIGITAL,0.6344147670797694,0.0009028363700210267,0.0011206916548641868,0.000887276771554506,-0.005355018377304066,-6.035341563063903
AA,E,OTM_K110,0.6856610408354779,0.0011548055398723314,0.0012575699475926175,0.0009610188550034539,-0.032622922708590824,-33.94618382224517
AB1,E,OTM_K110,0.0313539925167988,0.0011548055398723314,0.0014256108472030047,0.0018062961439452372,-0.03318330869078637,-18.37091265572253
AB2,E,OTM_K110,-0.09563350016567947,0.0011548055398723314,0.007495851580615,0.007692660261787467,-0.07227808212240536,-9.395720032176595
AB3,E,OTM_K110,0.10702177927407727,0.0011548055398723314,0.002242628327236039,0.002410109483668814,-0.032271636277437205,-13.390112148893492
B1B1,E,OTM_K110,0.3465847479796723,0.0014222291947915753,0.0014256108472030047,0.0016277805656450674,-0.032928242782751735,-20.22891996483735
B2B2,E,OTM_K110,0.9044167408480766,0.0026474808585949137,0.007495851580615,0.005224980558620473,-0.06035151854157447,-11.550572842228679
AA,E,OTM_K125,0.6933618346566552,0.0009745908628475857,0.0011513039151671307,0.0008481476162921026,-0.030597198133667305,-36.07532173164726
AB1,E,OTM_K125,0.020437814872219413,0.0009745908628475857,0.0012630343726869311,0.0015794833512745305,-0.031206691885987917,-19.75753138569415
AB2,E,OTM_K125,-0.10950162028089379,0.0009745908628475857,0.007525802514110296,0.007693752482476271,-0.06988824891547361,-9.083766221314642
AB3,E,OTM_K125,0.0585863233340489,0.0009745908628475857,0.0020870775888436207,0.0022510854206077985,-0.030375442033012706,-13.493686980928189
B1B1,E,OTM_K125,0.3100626084868288,0.0012177491865351564,0.0012630343726869311,0.001457525192664275,-0.030885978415608403,-21.190699530311754
