config_id,block,payoff,ratio_b5,ratio_V1,V2_median,V2_q10,V2_q90,n_cal,n_test
Exp03-B2B2-D,Exp03,OTM_K125,0.9707,0.9706507350815387,1.000315977224889,1.0000260438361461,1.001265073905877,24,6
Exp03-B2B2-E,Exp03,ATM,0.9576,0.9576043466728287,1.0004275061540229,1.000076796505597,1.0019716616421135,24,6
Exp03-B2B2-E,Exp03,OTM_K110,0.9592,0.9591528523433469,1.0002970768349433,1.0000694744796075,1.001016497014432,24,6
Exp03-B2B2-E,Exp03,OTM_K125,0.9591,0.9590783872054257,1.000557638771437,1.000079579055716,1.0032084150657603,24,6
Exp05ax-kappa1,Exp05_axis,ATM,1.0002,1.0000919089970681,1.0004902533960105,0.9999071634348593,1.0019634915667144,150,50
Exp05ax-kappa1,Exp05_axis,OTM_K110,1.0047,1.0046446942064415,1.0003927073528798,0.9999773517143118,1.0026942844285698,150,50
Exp05ax-kappa1,Exp05_axis,OTM_K125,1.0069,1.006922529655835,1.0007026132225845,1.0000036739109206,1.0023895913062626,150,50
Exp05ax-kappa2,Exp05_axis,ATM,1.0023,1.0022188813496429,1.0010016349429534,1.000020868242477,1.0038287799204304,150,50
Exp05ax-kappa2,Exp05_axis,OTM_K110,1.006,1.0060117252411716,1.0006812033999943,1.0001154403177106,1.001206738573659,150,50
Exp05ax-kappa2,Exp05_axis,OTM_K125,1.0077,1.0077146754592579,1.0005297958722752,1.0000067299729596,1.0021486705360234,150,50
Exp05ax-kappa3,Exp05_axis,ATM,0.9762,0.9761539246064316,1.000342053158247,0.9999827630114065,1.003915526566282,150,50
Exp05ax-kappa3,Exp05_axis,OTM_K110,0.98,0.9800013366572302,1.0003411757937708,1.0000102641486226,1.0025919270280248,150,50
Exp05ax-kappa3,Exp05_axis,OTM_K125,0.9815,0.981458273018552,1.0004427094644508,0.9999986689445408,1.001715454735042,150,50
Exp05ax-kappa4,Exp05_axis,ATM,0.9538,0.9537794804451077,1.0002674069692576,1.0000190086900744,1.0016078817486425,150,50
Exp05ax-kappa4,Exp05_axis,OTM_K110,0.9578,0.9578285335798674,1.0001034763132686,1.0000180032103803,1.0012759661552275,150,50
Exp05ax-kappa4,Exp05_axis,OTM_K125,0.96,0.9599777467654752,1.000359730160454,1.0000942897210228,1.0012897968267698,150,50
Exp05ax-kappa5,Exp05_axis,ATM,0.9614,0.9613564157133883,1.0001284155726893,1.0000081931240152,1.0004880234289384,150,50
Exp05ax-kappa5,Exp05_axis,OTM_K110,0.9659,0.9658897658850107,1.0001177592694774,1.0000117803696325,1.0004153194746142,150,50
Exp05ax-kappa5,Exp05_axis,OTM_K125,0.9713,0.9713074356576944,1.0001636998030703,1.0000188366216674,1.0006162907646419,150,50
Exp05ax-omega1,Exp05_axis,ATM,0.9947,0.9946510531173987,1.0001140363156473,1.000014709662595,1.0003993275031444,150,50
Exp05ax-omega1,Exp05_axis,OTM_K110,0.9967,0.9966555692377572,1.0000495086143035,1.0000090671892687,1.000348225565704,150,50
Exp05ax-omega1,Exp05_axis,OTM_K125,0.9981,0.9980845771821079,1.0000794209079797,1.000009481618664,1.0001632472393571,150,50
Exp05ax-omega2,Exp05_axis,ATM,0.9929,0.9928966084469817,1.0000782295141453,1.0000273113696418,1.0002925018846047,150,50
Exp05ax-omega2,Exp05_axis,OTM_K110,0.9952,0.9952437034474108,1.0001290452192446,1.0000133539586227,1.0005701662386648,150,50
Exp05ax-omega2,Exp05_axis,OTM_K125,0.997,0.9969677092057196,1.0001279118879496,1.00000892673628,1.0005351754362464,150,50
Exp05ax-omega3,Exp05_axis,ATM,0.9895,0.9895437672807457,1.000085414599169,1.0000098458869864,1.000796132669678,150,50
Exp05ax-omega3,Exp05_axis,OTM_K110,0.9921,0.9920597021555124,1.0000748692788801,1.0000009370669272,1.000421152235167,150,50
Exp05ax-omega3,Exp05_axis,OTM_K125,0.9942,0.9942074566158523,1.0000623313781445,1.0000022381642115,1.00027194009016,150,50
Exp05ax-omega4,Exp05_axis,ATM,1.008,1.0079654041170907,1.0000821837705036,1.000024625278484,1.0004888741996976,150,50
Exp05ax-omega4,Exp05_axis,OTM_K110,1.009,1.0089948213263495,1.0000557345055126,1.0000085321738472,1.0002305144877943,150,50
Exp05ax-omega4,Exp05_axis,OTM_K125,1.0109,1.0109422550992013,1.0000479795082422,1.0000035390284405,1.000359911340163,150,50
Exp05ax-omega5,Exp05_axis,ATM,1.0045,1.0044709179805698,1.0000074008373794,1.0000006574253855,1.0000573837403588,150,50
Exp05ax-omega5,Exp05_axis,OTM_K110,1.0038,1.0038250743268298,1.000009419548102,1.0000002796378318,1.000035148113376,150,50
Exp05ax-omega5,Exp05_axis,OTM_K125,1.0037,1.0037317212337502,1.0000119765157576,1.0000013039818667,1.0000463965473716,150,50
Exp05ax-rho1,Exp05_axis,ATM,0.9676,0.9581077432107308,1.0023214441073613,0.9982741296928007,1.0129923499774374,150,50
