key,block,config_id,payoff,n_cal,n_test_lo,n_test_hi,n_seeds
Exp05_axis__Exp05ax-omega3__OTM_K125,Exp05_axis,Exp05ax-omega3,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-omega4__ATM,Exp05_axis,Exp05ax-omega4,ATM,150,150,200,200
Exp05_axis__Exp05ax-omega4__OTM_K110,Exp05_axis,Exp05ax-omega4,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-omega4__OTM_K125,Exp05_axis,Exp05ax-omega4,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-omega5__ATM,Exp05_axis,Exp05ax-omega5,ATM,150,150,200,200
Exp05_axis__Exp05ax-omega5__OTM_K110,Exp05_axis,Exp05ax-omega5,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-omega5__OTM_K125,Exp05_axis,Exp05ax-omega5,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-xi1__ATM,Exp05_axis,Exp05ax-xi1,ATM,150,150,200,200
Exp05_axis__Exp05ax-xi1__OTM_K110,Exp05_axis,Exp05ax-xi1,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-xi1__OTM_K125,Exp05_axis,Exp05ax-xi1,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-xi2__ATM,Exp05_axis,Exp05ax-xi2,ATM,150,150,200,200
Exp05_axis__Exp05ax-xi2__OTM_K110,Exp05_axis,Exp05ax-xi2,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-xi2__OTM_K125,Exp05_axis,Exp05ax-xi2,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-xi3__ATM,Exp05_axis,Exp05ax-xi3,ATM,150,150,200,200
Exp05_axis__Exp05ax-xi3__OTM_K110,Exp05_axis,Exp05ax-xi3,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-xi3__OTM_K125,Exp05_axis,Exp05ax-xi3,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-xi4__ATM,Exp05_axis,Exp05ax-xi4,ATM,150,150,200,200
Exp05_axis__Exp05ax-xi4__OTM_K110,Exp05_axis,Exp05ax-xi4,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-xi4__OTM_K125,Exp05_axis,Exp05ax-xi4,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-xi5__ATM,Exp05_axis,Exp05ax-xi5,ATM,150,150,200,200
Exp05_axis__Exp05ax-xi5__OTM_K110,Exp05_axis,Exp05ax-xi5,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-xi5__OTM_K125,Exp05_axis,Exp05ax-xi5,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-rho1__ATM,Exp05_axis,Exp05ax-rho1,ATM,150,150,200,200
Exp05_axis__Exp05ax-rho1__OTM_K110,Exp05_axis,Exp05ax-rho1,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-rho1__OTM_K125,Exp05_axis,Exp05ax-rho1,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-rho2__ATM,Exp05_axis,Exp05ax-rho2,ATM,150,150,200,200
Exp05_axis__Exp05ax-rho2__OTM_K110,Exp05_axis,Exp05ax-rho2,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-rho2__OTM_K125,Exp05_axis,Exp05ax-rho2,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-rho3__ATM,Exp05_axis,Exp05ax-rho3,ATM,150,150,200,200
Exp05_axis__Exp05ax-rho3__OTM_K110,Exp05_axis,Exp05ax-rho3,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-rho3__OTM_K125,Exp05_axis,Exp05ax-rho3,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-rho4__ATM,Exp05_axis,Exp05ax-rho4,ATM,150,150,200,200
Exp05_axis__Exp05ax-rho4__OTM_K110,Exp05_axis,Exp05ax-rho4,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-rho4__OTM_K125,Exp05_axis,Exp05ax-rho4,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-rho5__ATM,Exp05_axis,Exp05ax-rho5,ATM,150,150,200,200
Exp05_axis__Exp05ax-rho5__OTM_K110,Exp05_axis,Exp05ax-rho5,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-rho5__OTM_K125,Exp05_axis,Exp05ax-rho5,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vkappa_s1__ATM,Exp05_diag,Exp05dg-vkappa_s1,ATM,150,150,200,200
Exp05_diag__Exp05dg-vkappa_s1__OTM_K110,Exp05_diag,Exp05dg-vkappa_s1,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-vkappa_s1__OTM_K125,Exp05_diag,Exp05dg-vkappa_s1,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vkappa_s2__ATM,Exp05_diag,Exp05dg-vkappa_s2,ATM,150,150,200,200
